source,dest,packets,traffic_in_bytes
192.168.129.88,172.224.111.8,23,32016
192.168.128.52,17.248.167.103,56,31962
192.168.129.69,151.101.131.6,68,31818
192.168.131.172,17.248.225.69,406,31668
192.168.130.224,8.8.8.8,405,31590
192.168.130.238,17.248.225.44,402,31356
192.168.130.44,172.224.180.131,64,31272
192.168.129.184,192.168.63.253,406,31090
192.168.130.44,172.224.180.138,44,31026
192.168.130.238,17.248.225.29,397,30966
192.168.63.253,192.168.130.104,162,30954
192.168.33.184,17.248.167.59,59,30882
192.168.130.224,17.248.167.74,55,30570
192.168.128.52,17.248.167.104,55,30570
192.168.128.72,172.224.180.135,55,30570
192.168.129.212,172.224.110.13,55,30570
192.168.129.173,172.224.180.136,55,30570
192.168.128.72,172.224.111.10,55,30570
192.168.131.172,17.248.225.65,390,30420
192.168.33.247,17.248.167.40,51,30226
192.168.33.247,17.248.167.39,51,30226
192.168.131.16,172.224.110.15,67,30192
192.168.130.0,192.168.63.253,402,30144
192.168.33.247,17.248.167.37,32,30074
192.168.33.184,17.248.167.68,48,30024
192.168.129.40,172.224.180.4,48,30024
192.168.33.247,17.248.167.71,48,29992
192.168.130.44,17.248.225.14,384,29936
192.168.33.115,17.248.225.64,380,29640
192.168.33.247,17.248.167.89,42,29524
192.168.33.247,17.248.167.90,41,29462
192.168.128.72,142.250.196.138,78,29364
192.168.128.72,142.250.194.138,78,29364
192.168.128.72,142.251.42.170,78,29364
192.168.128.72,142.251.42.202,78,29364
192.168.128.72,142.250.199.106,78,29364
192.168.128.72,172.217.161.74,78,29364
192.168.129.69,17.248.167.88,21,29232
