dest,packets,traffic_in_bytes
47.88.73.126,20,1480
23.62.20.90,10,1471
47.88.38.69,19,1406
52.9.144.60,19,1406
193.114.62.53,18,1404
17.32.194.22,18,1404
17.8.139.22,18,1388
ff02::1:ffc4:9dbb,16,1376
23.56.0.188,21,1358
23.56.0.189,21,1358
47.88.38.23,18,1332
23.209.45.58,17,1326
ff02::1:ff5b:e9e5,15,1290
ff02::1:ff24:de05,15,1290
13.227.74.106,16,1248
13.227.74.72,16,1248
13.227.74.77,16,1248
13.227.74.40,16,1248
76.223.92.165,16,1248
13.248.212.111,16,1248
54.187.68.172,10,1209
ff02::1:ffd2:f31c,14,1204
47.88.38.57,16,1184
199.103.24.2,15,1170
ff02::1:ffeb:572e,13,1118
162.159.142.9,6,1114
47.88.38.56,15,1110
47.88.38.40,15,1110
47.88.38.64,15,1110
47.88.38.62,15,1110
47.88.38.61,15,1110
17.36.206.9,14,1092
17.167.200.71,14,1092
57.144.152.144,14,1092
23.217.69.53,14,1092
23.205.214.32,14,1092
17.57.13.47,14,1092
52.1.155.149,14,1092
44.217.133.98,14,1092
13.219.31.224,14,1092
52.2.60.200,14,1092
3.224.136.226,14,1092
3.225.239.183,14,1092
107.20.197.75,14,1092
34.204.247.91,14,1092
54.163.14.159,14,1092
3.85.253.160,14,1092
52.73.152.182,14,1092
44.213.231.17,14,1092
18.155.202.71,14,1036
216.239.32.223,14,1036
108.158.251.18,14,1036
108.158.251.125,14,1036
ff02::1:ff32:3ae2,12,1032
ff02::1:ff57:9265,12,1032
ff02::1:ff50:e2de,12,1032
23.192.46.171,13,1014
23.205.214.37,13,1014
57.182.58.64,13,962
57.144.124.192,16,960
ff02::1:ffc1:8045,11,946
ff02::1:fffe:5f22,11,946
ff02::1:ff2e:1a30,11,946
157.240.31.7,12,936
44.225.241.36,14,910
52.39.89.0,14,910
44.240.150.60,14,910
34.215.8.130,14,910
17.8.138.37,12,904
35.72.142.241,12,888
52.196.173.102,12,888
ff02::1:ff2b:a241,10,860
ff02::1:ff1b:cba2,10,860
17.33.203.20,11,842
17.253.87.204,11,842
17.253.87.203,11,842
17.32.194.12,11,842
17.32.194.43,11,842
117.46.11.231,11,842
118.103.88.119,11,842
23.204.139.210,11,842
17.138.132.1,11,842
17.138.204.2,11,842
17.253.87.195,11,842
17.253.75.136,11,842
17.253.87.198,11,842
18.246.94.14,11,834
142.251.8.188,9,828
180.188.25.47,11,814
23.52.128.75,10,780
71.18.222.1,10,780
23.209.45.74,10,780
23.209.45.16,10,780
23.209.45.51,10,780
23.209.45.50,10,780
23.209.45.33,10,780
23.209.45.9,10,780
23.209.45.11,10,780
199.103.24.4,10,780
17.157.64.79,10,780
23.209.45.73,10,780
23.209.45.67,10,780
23.209.45.57,10,780
23.209.45.72,10,780
23.209.45.64,10,780
23.209.45.59,10,780
23.61.86.175,10,780
23.217.136.160,10,780
18.161.229.90,10,780
17.253.75.132,10,780
23.217.136.153,10,780
23.204.139.220,10,780
18.65.100.47,10,780
17.145.48.1,10,780
199.232.210.172,12,776
199.232.214.172,12,776
ff02::1:ff7c:a269,9,774
17.253.69.210,10,764
173.194.174.188,10,740
151.101.108.159,9,702
18.155.192.43,9,702
18.238.192.104,9,702
18.246.101.79,9,702
18.155.192.87,9,702
18.238.192.107,9,702
18.155.192.46,9,702
18.238.192.15,9,702
18.155.192.70,9,702
18.238.192.12,9,702
18.246.94.195,9,702
35.86.67.248,9,702
108.158.251.52,9,702
18.67.161.91,9,702
108.158.251.67,9,702
18.67.161.31,9,702
108.158.251.88,9,702
18.67.161.102,9,702
108.158.251.126,9,702
18.67.161.113,9,702
3.115.131.22,9,666
17.138.160.4,8,624
52.68.113.29,8,624
52.198.115.147,8,624
13.113.183.189,8,624
151.101.110.73,8,624
18.246.97.199,8,624
17.253.87.200,8,624
17.253.75.144,8,624
17.253.87.197,8,624
23.52.128.10,8,592
23.52.128.14,8,592
23.217.181.166,9,582
17.57.145.55,7,546
142.251.170.207,7,546
142.250.157.207,7,546
31.13.67.175,7,546
157.240.14.175,7,546
57.144.162.36,7,546
23.209.45.42,7,546
23.209.45.17,7,546
23.209.45.27,7,546
1.1.1.1,7,546
65.8.161.23,7,546
65.8.161.128,7,546
65.8.161.60,7,546
65.8.161.71,7,546
17.242.179.27,7,546
17.57.13.65,7,546
18.239.196.159,7,546
18.239.196.133,7,546
18.239.196.97,7,546
18.239.196.15,7,546
17.57.12.255,7,546
17.57.12.12,7,546
104.36.194.121,7,546
17.57.12.113,7,546
57.144.176.8,7,518
99.84.141.35,7,518
99.84.141.117,7,518
99.84.141.70,7,518
99.84.141.83,7,518
23.52.128.71,6,468
199.103.24.6,6,468
23.209.45.48,6,468
23.209.45.34,6,468
23.209.45.75,6,468
23.209.45.25,6,468
23.217.69.198,6,468
216.239.34.223,6,444
3.173.197.85,6,444
ff02::1:ff39:ea75,5,430
ff02::1:fff0:240f,5,430
57.144.124.141,7,420
192.168.100.112,4,392
63.140.50.158,5,390
23.217.181.23,5,390
